company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
TCS,3.3,1.1L,9.8L,11.8k,2.1k,IT Services & Consulting,Bangalore / Bengaluru +439 other locations,10.6k,1
Accenture,3.7,71.4k,6.5L,9.2k,42k,IT Services & Consulting,Bangalore / Bengaluru +255 other locations,6.7k,1
Wipro,3.6,63.6k,4.8L,6.7k,7.1k,IT Services & Consulting,Hyderabad / Secunderabad +370 other locations,4.6k,1
Cognizant,3.6,59.9k,6L,6.3k,710,IT Services & Consulting,Hyderabad / Secunderabad +229 other locations,5.5k,1
Capgemini,3.7,51.4k,4.8L,5.4k,2k,IT Services & Consulting,Bangalore / Bengaluru +183 other locations,3.7k,1
HDFC Bank,3.8,50.6k,1.5L,2.9k,270,Banking,Mumbai +1822 other locations,3.2k,1
Infosys,3.5,47.3k,5.2L,8.3k,2.9k,IT Services & Consulting,Bangalore / Bengaluru +246 other locations,4.8k,1
ICICI Bank,4.0,45.1k,1.5L,2.9k,22,Banking,Mumbai +1437 other locations,3.7k,1
HCLTech,3.4,44.5k,3.7L,4.4k,219,IT Services & Consulting,Chennai +228 other locations,3.8k,1
Tech Mahindra,3.4,42.4k,2.8L,4.5k,466,IT Services & Consulting,Hyderabad / Secunderabad +331 other locations,3.4k,1
Genpact,3.6,40.9k,2.3L,3.8k,1.4k,IT Services & Consulting,Hyderabad / Secunderabad +182 other locations,3.5k,1
Teleperformance,3.8,36.5k,96k,2.2k,1.4k,BPO,Mumbai +255 other locations,1.8k,1
Jio,4.4,32.4k,62.1k,3.9k,3,Telecom,Mumbai +1903 other locations,2.5k,1
Axis Bank,3.6,32.4k,1L,1.9k,193,Banking,Mumbai +1501 other locations,2.1k,1
Concentrix Corporation,3.6,31.6k,1.3L,1.9k,75,BPO,Bangalore / Bengaluru +177 other locations,3.1k,1
Amazon,3.9,30.6k,1.5L,5.8k,1.7k,Internet,Bangalore / Bengaluru +516 other locations,4.1k,1
iEnergizer,4.6,27.1k,24k,1.1k,61,BPO,Noida +51 other locations,430,1
Reliance Retail,3.9,27k,75.3k,1.9k,174,Retail,Mumbai +1154 other locations,1.8k,1
LTIMindtree,3.6,25.8k,1.9L,3.4k,499,IT Services & Consulting,Bangalore / Bengaluru +146 other locations,776,1
IBM,3.9,25.3k,2.1L,2.6k,1.7k,IT Services & Consulting,Bangalore / Bengaluru +160 other locations,2.6k,1
HDB Financial Services,3.9,25.2k,50.2k,1.1k,215,NBFC,Mumbai +1091 other locations,1.5k,2
Larsen & Toubro Limited,3.9,23.2k,74.4k,1.8k,203,Engineering & Construction,Chennai +758 other locations,2.5k,2
Deloitte,3.7,22.4k,2.5L,3.3k,1.8k,Management Consulting,Hyderabad / Secunderabad +187 other locations,2.4k,2
Kotak Mahindra Bank,3.6,21.9k,87.1k,1.4k,103,Banking,Mumbai +683 other locations,1.3k,2
Reliance Industries,4.0,19.8k,72.5k,1.6k,52,Oil & Gas,Jamnagar +814 other locations,1.8k,2
Vodafone Idea,3.9,17.5k,50.2k,671,43,Telecom,Pune +703 other locations,2k,2
Bharti Airtel,3.8,16.9k,49k,1.1k,139,Telecom,Gurgaon / Gurugram +790 other locations,1.6k,2
BYJU'S,3.2,16.4k,53.6k,2.1k,--,EdTech,Bangalore / Bengaluru +321 other locations,1.7k,2
WNS,3.3,14.8k,69k,1.2k,104,IT Services & Consulting,Pune +65 other locations,1.3k,2
IDFC FIRST Bank,3.9,14k,49k,912,24,Banking,Mumbai +714 other locations,692,2
Tata Motors,4.1,14k,42.7k,1.2k,179,Automobile,Pune +506 other locations,1.6k,2
Ernst & Young,3.4,13.9k,1.4L,1.3k,3.8k,Management Consulting,Bangalore / Bengaluru +132 other locations,1.2k,2
IndusInd Bank,3.4,13.8k,52k,753,126,Banking,Mumbai +788 other locations,793,2
AU Small Finance Bank,3.9,13.8k,28.8k,672,49,Banking,Jaipur +783 other locations,577,2
Flipkart,3.9,12.6k,54.2k,1.6k,181,Internet,Bangalore / Bengaluru +558 other locations,1.4k,2
Bajaj Finserv,3.9,12.6k,30.2k,712,8,NBFC,Pune +1166 other locations,706,2
Muthoot FinCorp,4.5,12.1k,9k,2.2k,52,NBFC,Bangalore / Bengaluru +1093 other locations,275,2
PwC,3.3,12k,1.2L,1.5k,956,Management Consulting,Bangalore / Bengaluru +132 other locations,800,2
Mahindra & Mahindra,4.0,11.8k,39.6k,836,1,Automobile,Pune +561 other locations,1.2k,2
DXC Technology,3.6,11.8k,73.2k,886,213,IT Services & Consulting,Bangalore / Bengaluru +132 other locations,1.1k,2
Infosys BPM,3.5,11.8k,73k,1.1k,100,BPO,Bangalore / Bengaluru +95 other locations,1.1k,3
HDFC Life,3.9,11.7k,33k,774,140,Insurance,Mumbai +700 other locations,614,3
Bandhan Bank,3.7,10.7k,24.7k,730,14,Banking,Kolkata +994 other locations,517,3
Conneqt Business Solutions,3.5,10.1k,26.2k,547,351,BPO,Hyderabad / Secunderabad +266 other locations,772,3
Mphasis,3.3,10k,73.2k,915,53,IT Services & Consulting,Bangalore / Bengaluru +63 other locations,846,3
Yes Bank,3.6,9.9k,43.1k,544,141,Banking,Mumbai +538 other locations,608,3
Tata Steel,4.0,9.7k,34k,1k,--,Iron & Steel,Jamshedpur +229 other locations,659,3
Quess,3.8,9.5k,30.8k,529,22,Recruitment,Bangalore / Bengaluru +741 other locations,440,3
Maruti Suzuki,4.2,9.4k,28k,767,8,Automobile,Gurgaon / Gurugram +451 other locations,1.1k,3
Startek,3.1,9.3k,24.4k,620,123,BPO,Bangalore / Bengaluru +105 other locations,681,3
Asian Paints,4.0,9.3k,25.4k,837,69,Chemicals,Mumbai +548 other locations,884,3
UltraTech Cement,4.1,9.2k,23.9k,777,31,Building Material,Mumbai +535 other locations,619,3
Paytm,3.2,9.2k,34.1k,882,395,FinTech,Noida +418 other locations,582,3
Shriram Finance,4.0,8.9k,14.9k,439,6,NBFC,Chennai +1111 other locations,21,3
Bajaj Finance,3.9,8.9k,22.4k,425,7.2k,NBFC,Pune +972 other locations,502,3
Sutherland Global Services,3.4,8.7k,34.4k,775,222,BPO,Chennai +82 other locations,901,3
Equitas Small Finance Bank,4.4,8.7k,13.2k,999,21,Banking,Chennai +480 other locations,397,3
EXL Service,3.6,8.4k,44.1k,892,1.5k,Analytics & KPO,Noida +62 other locations,799,3
Cipla,4.1,8.4k,26k,580,68,Pharma,Mumbai +292 other locations,850,3
Ericsson,3.9,8.3k,42.4k,469,82,Telecom,Noida +162 other locations,998,3
Samsung,3.9,8.3k,26.3k,617,27,Consumer Electronics & Appliances,Noida +580 other locations,520,4
Wells Fargo,3.7,8.2k,55.4k,675,123,Financial Services,Bangalore / Bengaluru +27 other locations,855,4
Dr. Reddy's,4.0,8.1k,26k,498,13,Pharma,Hyderabad / Secunderabad +214 other locations,740,4
Optum Global Solutions,4.0,7.7k,48.6k,751,110,IT Services & Consulting,Hyderabad / Secunderabad +68 other locations,686,4
Delhivery,3.8,7.7k,21.1k,601,194,Logistics,Gurgaon / Gurugram +754 other locations,656,4
ICICI Prudential Life Insurance,4.0,7.6k,22.9k,473,574,Insurance,Mumbai +505 other locations,625,4
JSW Steel,3.9,7.6k,30.4k,790,115,Iron & Steel,Ballari +193 other locations,600,4
JPMorgan Chase & Co.,3.8,7.6k,85.7k,854,811,Financial Services,Bangalore / Bengaluru +55 other locations,845,4
HGS,3.7,7.6k,20.9k,273,20,BPO,Bangalore / Bengaluru +121 other locations,968,4
Jana Small Finance Bank,3.8,7.5k,14.4k,304,39,Banking,Bangalore / Bengaluru +419 other locations,623,4
Hexaware Technologies,3.4,7.4k,53.1k,815,689,IT Services & Consulting,Chennai +68 other locations,547,4
Ujjivan Small Finance Bank,4.0,7.4k,12.9k,313,212,Banking,Bangalore / Bengaluru +533 other locations,579,4
Sun Pharmaceutical Industries,4.1,7.4k,23.3k,652,316,Pharma,Vadodara +265 other locations,594,4
Amazon Development Centre India,3.8,7.4k,38.3k,876,8,Internet,Hyderabad / Secunderabad +146 other locations,20,4
Lupin,4.1,7.2k,22.5k,436,38,Pharma,Pune +201 other locations,764,4
L&T Construction,4.0,7.2k,19.2k,943,--,Engineering & Construction,Chennai +433 other locations,929,4
Zydus Lifesciences,3.9,7.2k,19.9k,419,30,Pharma,Ahmedabad +177 other locations,605,4
Ekart Logistics,3.9,7.2k,15.9k,405,--,Logistics,Bangalore / Bengaluru +741 other locations,422,4
Hindustan Unilever,4.2,7.1k,20.1k,463,43,FMCG,Mumbai +533 other locations,704,4
KPMG India,3.4,7k,65k,913,66,Management Consulting,Bangalore / Bengaluru +112 other locations,749,4
ITC,3.9,7k,24.4k,684,76,FMCG,Bangalore / Bengaluru +376 other locations,638,5
Axis Max Life Insurance,4.0,6.9k,19.7k,399,143,Insurance,New Delhi +495 other locations,495,5
Megha Engineering & Infrastructures,3.9,6.8k,18.6k,560,33,Engineering & Construction,Hyderabad / Secunderabad +406 other locations,539,5
Tata Projects,4.2,6.7k,22.1k,584,26,Engineering & Construction,Mumbai +286 other locations,540,5
Coforge,3.2,6.5k,48.8k,693,133,IT Services & Consulting,Noida +103 other locations,273,5
FIS,3.8,6.4k,38.8k,532,135,FinTech,Pune +61 other locations,721,5
L&T Technology Services,3.1,6.4k,43k,626,--,IT Services & Consulting,Bangalore / Bengaluru +93 other locations,443,5
Bajaj Life Insurance,3.8,6.4k,17k,440,65,Insurance,Pune +608 other locations,474,5
Cholamandalam Investment & Finance,3.8,6.4k,13k,279,17,Financial Services,Chennai +841 other locations,293,5
IIFL Finance,4.0,6.2k,14.1k,323,81,NBFC,Mumbai +801 other locations,399,5
Oracle,3.5,6.2k,62.6k,944,1.1k,Software Product,Bangalore / Bengaluru +56 other locations,617,5
Indian Army,4.7,6.2k,9.5k,202,--,Defence & Aerospace,New Delhi +365 other locations,728,5
Muthoot Finance,3.7,6.2k,13k,344,91,NBFC,Bangalore / Bengaluru +784 other locations,325,5
JLL,4.1,6.2k,24.2k,480,291,Real Estate,Gurgaon / Gurugram +85 other locations,539,5
Omega Healthcare,3.8,6.2k,26.3k,541,118,BPO,Chennai +69 other locations,391,5
eClerx,3.1,6.1k,31.9k,628,316,IT Services & Consulting,Pune +32 other locations,555,5
HCL Group,3.5,6.1k,39.8k,514,--,IT Services & Consulting,Chennai +97 other locations,661,5
Piramal Finance,4.2,6k,12.7k,291,6,NBFC,Mumbai +423 other locations,445,5
Virtusa Consulting Services,3.7,5.9k,56.4k,665,1.4k,IT Services & Consulting,Hyderabad / Secunderabad +55 other locations,318,5
DMart,3.9,5.9k,18.6k,541,208,Retail,Mumbai +247 other locations,470,5
HSBC Group,3.9,5.8k,42.8k,545,135,Financial Services,Bangalore / Bengaluru +63 other locations,1.1k,6
Indiamart Intermesh,3.5,5.8k,20k,743,554,Internet,Noida +173 other locations,432,6
SMFG India Credit,3.9,5.8k,11k,205,89,NBFC,Mumbai +595 other locations,348,6
Udaan,3.9,5.7k,15.6k,372,5,Internet,Bangalore / Bengaluru +368 other locations,755,6
Aurobindo Pharma,4.0,5.7k,20.7k,286,19,Pharma,Hyderabad / Secunderabad +115 other locations,468,6
Siemens,3.9,5.7k,33.5k,503,801,Industrial Automation,Bangalore / Bengaluru +152 other locations,633,6
Access Healthcare,3.7,5.7k,28.4k,390,569,BPO,Chennai +64 other locations,347,6
BigBasket,3.9,5.7k,19.2k,476,86,Internet,Bangalore / Bengaluru +139 other locations,381,6
Manappuram Finance,3.9,5.6k,9.1k,220,7,NBFC,Bangalore / Bengaluru +649 other locations,260,6
PolicyBazaar,3.7,5.6k,17.1k,621,465,Internet,Gurgaon / Gurugram +149 other locations,231,6
Tata Capital,4.0,5.6k,15.8k,266,3.5k,NBFC,Mumbai +439 other locations,258,6
ICICI Lombard General Insurance Company,3.5,5.6k,20.1k,353,189,Insurance,Mumbai +313 other locations,366,6
Shapoorji Pallonji Group,4.1,5.6k,15.3k,418,80,Engineering & Construction,Mumbai +189 other locations,632,6
GlobalLogic,3.5,5.6k,40.3k,677,47,IT Services & Consulting,Hyderabad / Secunderabad +60 other locations,515,6
Firstsource Solutions,3.5,5.6k,24.2k,358,145,BPO,Bangalore / Bengaluru +74 other locations,570,6
Standard Chartered,3.6,5.6k,42k,321,--,Banking,Chennai +68 other locations,305,6
Mahindra Finance,3.9,5.5k,12.1k,215,430,NBFC,Mumbai +730 other locations,507,6
Apollo Hospitals,4.1,5.5k,16.5k,475,162,Healthcare,Chennai +229 other locations,507,6
Bosch Global Software Technologies,3.7,5.5k,40k,387,21,IT Services & Consulting,Bangalore / Bengaluru +47 other locations,625,6
UST,3.7,5.5k,39.4k,584,154,IT Services & Consulting,Bangalore / Bengaluru +50 other locations,408,6
Ashok Leyland,4.0,5.5k,18.6k,315,--,Automobile,Chennai +259 other locations,642,7
